product_id,pegasus_summary
B0075WWDKQ,"This is the first coffee i've tried from the new pink ribbon range, and it's been a good experience.... and it's not pink, it's black!... and it's not pink, it's black!"
B0061YK3O2,"olive oil is one of those things that you can't go wrong with, especially if you buy it from a local farmer. olive oil is one of those things that you can't go wrong with, especially if you buy it from a local farmer."
B001EX9LGQ,I've been feeding this food to my two cats for the past two years and they've been hooked..I've been feeding this food to my two cats for the past two years and they've been hooked..I think many cats would love this food..will buy it again.
B0062I862I,"Is there a better cup of rican coffee than the one you get from yaucono, or is it better to buy it in bulk and sample it before you buy it, or is it better to buy it in a single cup?"
B004QDMY42,I have tried many gum products and this is the first one that i have tried that claims to fight bad breath and whiten teeth. I have tried many gum products and this is the first one that i have tried that claims to fight bad breath and whiten teeth.
B002GURBZ4,"edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter, edible glitter."
B001GVISJW,"The twizzlers brand is much better than that other well known brand, the black and cherry taste was too delicate and barely there twizzlers brand is much better than that other well known brand, the black and cherry taste was too delicate and barely there twizzlers brand is much better than that other well known brand, the black and cherry taste was too delicate and barely there twizzlers brand is much better than that other well known brand, the black and cherry taste was too delicate and barely there twizzlers brand is much better than that other well known brand, the black and cherry taste was too delicate and barely there twizzlers brand is much better than that other well known brand, the black and cherry taste was too delicate"
B004X8TK8I,These famous amos cookies are rich and have that depth of that comes from quality ingredients.These amos cookies are rich and have that depth of that comes from quality ingredients.These amos cookies are rich and have that depth of that comes from quality ingredients.
B003JYEL2W,I love community coffee but the batch i received of the special decaf was old the bags had lost their vacuum packed state.... and i love community coffee but the batch i received of the special decaf was old the bags had lost their vacuum packed state.
B001EO67V2,"They are too sweet for me and my family, they are heavily coated with sugar to sweeten them up as they are not gummy, but they are not great, they are optimal not gummy, but not great, they are too sweet for me and my family, they are heavily coated with sugar to sweeten them up as they are not gummy, but they are not great, they are too sweet for me and my family, they are heavily coated with sugar to sweeten them up as they are not gummy, but they are not great, they are too sweet for me and my family, they are heavily coated with sugar to sweeten them up as they are not gummy, but they are not great, they are too sweet for me and my family,"
