model,product_id,rouge1,rouge2,rougeL,bleu,bert_precision,bert_recall,bert_f1
textrank,B0075WWDKQ,0.03636363636363636,0.0,0.03636363636363636,0.003864259978779946,0.3134477138519287,0.34501054883003235,0.32847267389297485
textrank,B0061YK3O2,0.28571428571428564,0.18518518518518517,0.28571428571428564,0.0738725448507191,0.5207347869873047,0.5315943956375122,0.5261085629463196
textrank,B001EX9LGQ,0.0,0.0,0.0,0.0,0.3632378578186035,0.44086533784866333,0.3983045518398285
textrank,B0062I862I,0.0,0.0,0.0,0.0075771811890076235,0.3621944189071655,0.5636533498764038,0.44100573658943176
textrank,B004QDMY42,0.08928571428571429,0.0,0.07142857142857142,0.00550348876744825,0.36198100447654724,0.5488743782043457,0.4362538754940033
textrank,B002GURBZ4,0.034482758620689655,0.0,0.034482758620689655,0.007605497822189857,0.3409082889556885,0.3384435772895813,0.33967146277427673
textrank,B001GVISJW,0.0759493670886076,0.0,0.0759493670886076,0.0062297170254052405,0.3115144968032837,0.410653680562973,0.35427916049957275
textrank,B004X8TK8I,0.06896551724137931,0.0,0.06896551724137931,0.010009398039350848,0.35920196771621704,0.459623783826828,0.40325498580932617
textrank,B003JYEL2W,0.27027027027027023,0.05714285714285714,0.21621621621621623,0.03300809119141885,0.48380452394485474,0.46897491812705994,0.4762743413448334
textrank,B001EO67V2,0.14705882352941177,0.030303030303030304,0.14705882352941177,0.00952597016640547,0.2900066375732422,0.4057489037513733,0.33825063705444336
bart,B0075WWDKQ,0.08333333333333334,0.0,0.05555555555555555,0.007313525558399564,0.3923340439796448,0.4141019582748413,0.40292423963546753
bart,B0061YK3O2,0.25396825396825395,0.1639344262295082,0.25396825396825395,0.05923625523450716,0.5427474975585938,0.6092725992202759,0.5740892291069031
bart,B001EX9LGQ,0.0,0.0,0.0,0.0,0.3650197982788086,0.4635644555091858,0.40843212604522705
bart,B0062I862I,0.0,0.0,0.0,0.005844855918911488,0.42353957891464233,0.5968495607376099,0.49547651410102844
bart,B004QDMY42,0.13157894736842105,0.0,0.07894736842105263,0.008854872395694286,0.46668291091918945,0.5714678764343262,0.5137871503829956
bart,B002GURBZ4,0.15625000000000003,0.03225806451612903,0.125,0.03182136343323252,0.47602030634880066,0.5046650171279907,0.4899243116378784
bart,B001GVISJW,0.20253164556962025,0.025974025974025976,0.10126582278481013,0.006998018210509476,0.5228469371795654,0.6362256407737732,0.5739910006523132
bart,B004X8TK8I,0.11494252873563218,0.023529411764705882,0.09195402298850575,0.012480888701996661,0.48535454273223877,0.598028302192688,0.5358322858810425
bart,B003JYEL2W,0.2068965517241379,0.03571428571428571,0.10344827586206895,0.017268919138039227,0.44844740629196167,0.5086941123008728,0.4766746759414673
bart,B001EO67V2,0.29729729729729726,0.16666666666666666,0.24324324324324326,0.027809807468501656,0.510547399520874,0.5991093516349792,0.5512942671775818
t5,B0075WWDKQ,0.07058823529411765,0.0,0.07058823529411765,0.004861079010119558,0.3788311779499054,0.41816601157188416,0.39752793312072754
t5,B0061YK3O2,0.1584158415841584,0.0606060606060606,0.099009900990099,0.013254863986762977,0.4150448143482208,0.5693998336791992,0.48012134432792664
t5,B001EX9LGQ,0.0,0.0,0.0,0.0,0.36137330532073975,0.48382657766342163,0.41372939944267273
t5,B0062I862I,0.0,0.0,0.0,0.005799975368190927,0.3314959406852722,0.544034481048584,0.4119679033756256
t5,B004QDMY42,0.0,0.0,0.0,0.0,0.23543506860733032,0.28745928406715393,0.25885915756225586
t5,B002GURBZ4,0.09090909090909093,0.0,0.09090909090909093,0.006061162699478887,0.3658914864063263,0.45990872383117676,0.407548189163208
t5,B001GVISJW,0.1176470588235294,0.0,0.0784313725490196,0.004872610689592368,0.394849956035614,0.5577198266983032,0.4623611867427826
t5,B004X8TK8I,0.0,0.0,0.0,0.007716270058689812,0.30175793170928955,0.3994061350822449,0.3437824845314026
t5,B003JYEL2W,0.04878048780487806,0.0,0.04878048780487806,0.004877178495671594,0.2387816458940506,0.2665661871433258,0.25191009044647217
t5,B001EO67V2,0.1234567901234568,0.02531645569620253,0.09876543209876543,0.007195175746258358,0.32045143842697144,0.4672030210494995,0.3801562488079071
